CustomerID,Name,Email,Gender,Age,City,MaritalStatus,NumChildren,JoinDate,Recency,Monetary,Frequency,R_Score,F_Score,M_Score,RFM_Score,Segment,Age_Group
CUST10000,Onkar Bhargava,pkeer@yahoo.com,Male,54,Delhi,Divorced,0,2021-02-22,13,21265.49,23,2,3,2,232,At Risk,45-60
CUST10001,Divit Kohli,mkalita@sarin.com,Female,48,Kolkata,Married,0,2023-12-06,35,28654.31,30,3,5,5,355,Loyal Customers,45-60
CUST10002,Kiara Behl,apteanay@hotmail.com,Male,75,Kolkata,Widowed,2,2023-08-23,18,23884.03,24,2,3,3,233,At Risk,60+
CUST10003,Vaibhav Sankar,bseshadri@choudhry.info,Male,62,Pune,Divorced,2,2022-11-17,81,24206.03,25,5,4,3,543,Loyal Customers,60+
CUST10004,Shray D’Alia,bdhillon@toor-mall.com,Male,55,Delhi,Divorced,0,2022-12-04,8,25565.3,19,1,1,4,114,Lost,45-60
CUST10005,Fateh Sharaf,qkulkarni@gmail.com,Male,59,Jaipur,Single,3,2021-05-13,24,29459.82,29,2,5,5,255,At Risk,45-60
CUST10006,Khushi Wadhwa,craja@yahoo.com,Female,61,Hyderabad,Widowed,2,2021-11-12,11,27922.36,28,1,5,5,155,At Risk,60+
CUST10007,Zeeshan Salvi,ira51@saini-kumar.com,Not Disclosed,32,Pune,Widowed,1,2021-08-10,86,14957.060000000001,15,5,1,1,511,Others,30-45
CUST10008,Elakshi Trivedi,ayesha07@gmail.com,Female,32,Hyderabad,Widowed,4,2023-11-20,3,19479.25,19,1,1,2,112,Lost,30-45
CUST10009,Neelofar Chada,abramsolanki@madan.com,Male,44,Jaipur,Single,0,2021-11-20,7,22832.83,25,1,4,3,143,At Risk,30-45
CUST10010,Kashvi Goda,nirvi89@hotmail.com,Not Disclosed,73,Ahmedabad,Single,2,2022-04-18,14,20932.93,20,2,2,2,222,New Customers,60+
CUST10011,Vardaniya Varty,aaryahibala@virk-gopal.org,Not Disclosed,63,Jaipur,Widowed,1,2020-08-06,17,23159.47,22,2,2,3,223,Others,60+
CUST10012,Dishani Jhaveri,zeeshan50@hotmail.com,Not Disclosed,30,Ahmedabad,Divorced,1,2022-12-07,59,26626.07,28,4,5,4,454,Champions,<30
CUST10013,Amira Rama,myrachakrabarti@master.com,Female,72,Jaipur,Widowed,1,2022-11-15,13,14536.66,19,2,1,1,211,New Customers,60+
CUST10014,Arhaan Trivedi,vigadvik@amble-shroff.com,Male,48,Hyderabad,Widowed,1,2023-12-21,32,23325.0,21,3,2,3,323,Others,45-60
CUST10015,Faiyaz Sur,riaan12@datta.com,Male,41,Jaipur,Divorced,0,2021-08-20,6,26315.71,20,1,2,4,124,Lost,30-45
CUST10016,Neelofar Sawhney,usarna@yahoo.com,Not Disclosed,50,Delhi,Married,1,2023-05-15,4,24607.24,24,1,3,4,134,At Risk,45-60
CUST10017,Anay Dugal,aaina34@gmail.com,Female,41,Pune,Single,1,2022-08-03,42,21241.48,25,3,4,2,342,Others,30-45
CUST10018,Mahika Kalita,advikissac@badami.com,Female,63,Lucknow,Widowed,2,2021-08-26,72,20383.920000000002,19,4,1,2,412,Others,60+
CUST10019,Inaaya  Thaman,hchoudhury@aurora.org,Male,50,Hyderabad,Single,2,2022-06-21,155,24529.64,25,5,4,4,544,Champions,45-60
CUST10020,Nirvi Raval,shanrohan@gmail.com,Not Disclosed,73,Jaipur,Married,1,2023-12-29,4,19111.420000000002,22,1,2,2,122,Lost,60+
CUST10021,Ryan Banik,rohan26@date.net,Female,72,Lucknow,Divorced,1,2021-06-23,19,18806.9,20,2,2,2,222,New Customers,60+
CUST10022,Kiara Tank,xchada@rastogi.biz,Female,60,Jaipur,Single,1,2024-04-24,60,21368.65,15,4,1,3,413,Others,45-60
CUST10023,Divyansh Chauhan,bhaminiben@hotmail.com,Not Disclosed,50,Bangalore,Married,1,2021-06-05,79,30622.22,27,5,4,5,545,Champions,45-60
CUST10024,Dishani Krish,manjari64@brar.com,Male,48,Chennai,Married,3,2022-03-26,8,25362.43,24,1,3,4,134,At Risk,45-60
CUST10025,Shayak Kala,pari16@gera.net,Female,49,Chennai,Widowed,1,2024-01-10,4,14074.550000000001,19,1,1,1,111,Lost,45-60
CUST10026,Chirag Seshadri,bhavsarjayan@luthra.com,Not Disclosed,52,Lucknow,Divorced,1,2022-08-20,69,23621.41,25,4,4,3,443,Loyal Customers,45-60
CUST10027,Kismat Kulkarni,shayak51@yahoo.com,Male,69,Hyderabad,Married,1,2023-10-21,30,22327.31,20,3,2,3,323,Others,60+
CUST10028,Himmat Mann,arnav61@verma-subramaniam.com,Male,73,Delhi,Divorced,0,2021-07-29,11,18921.46,18,1,1,2,112,Lost,60+
CUST10029,Shlok Bhandari,mangalira@gmail.com,Not Disclosed,22,Delhi,Single,1,2024-02-06,41,27318.86,24,3,3,4,334,Loyal Customers,<30
CUST10030,Priyansh Gopal,karnikraghav@gmail.com,Female,33,Ahmedabad,Single,2,2022-12-25,72,15128.23,17,4,1,1,411,Others,30-45
CUST10031,Ritvik Ahuja,jhaverifarhan@chandra.org,Male,40,Ahmedabad,Single,0,2023-12-03,35,25724.97,23,3,3,4,334,Loyal Customers,30-45
CUST10032,Farhan Kar,indranilsharaf@kalla.net,Female,51,Bangalore,Divorced,2,2022-05-14,44,30688.059999999998,27,4,4,5,445,Champions,45-60
CUST10033,Ira Date,divyansh35@gmail.com,Female,47,Chennai,Widowed,1,2024-06-10,1,12485.71,16,1,1,1,111,Lost,45-60
CUST10034,Vedika Divan,uhayre@yahoo.com,Male,37,Kolkata,Divorced,1,2020-09-09,153,30387.64,21,5,2,5,525,Potential Loyalists,30-45
CUST10035,Samar Rama,dassmadhav@hotmail.com,Male,34,Delhi,Divorced,3,2020-11-03,29,32232.78,30,3,5,5,355,Loyal Customers,30-45
CUST10036,Nitara Gokhale,hrishitachawla@yahoo.com,Not Disclosed,31,Lucknow,Widowed,2,2023-11-19,39,12860.83,17,3,1,1,311,Others,30-45
CUST10037,Taran Baria,shettyalia@gmail.com,Male,32,Mumbai,Widowed,0,2021-06-03,107,27130.43,27,5,4,4,544,Champions,30-45
CUST10038,Manikya Hayer,gadekabir@yahoo.com,Not Disclosed,28,Pune,Widowed,1,2023-05-07,18,23476.27,24,2,3,3,233,At Risk,<30
CUST10039,Nirvaan Ganesh,dasmadhup@swamy.biz,Male,58,Jaipur,Widowed,0,2023-12-12,58,23178.100000000002,22,4,2,3,423,Potential Loyalists,45-60
CUST10040,Ishita Vig,aptemyra@dhillon.info,Not Disclosed,19,Kolkata,Divorced,2,2020-11-18,9,24650.49,23,1,3,4,134,At Risk,<30
CUST10041,Divyansh Krishna,kumarnitya@gmail.com,Female,21,Ahmedabad,Married,4,2022-07-27,95,18174.28,21,5,2,2,522,Potential Loyalists,<30
CUST10042,Hridaan Tara,emir89@yahoo.com,Male,37,Delhi,Single,1,2021-05-03,69,18488.29,17,4,1,2,412,Others,30-45
CUST10043,Hridaan Mahajan,misha83@doctor.net,Female,65,Bangalore,Widowed,1,2021-02-10,29,29659.3,30,3,5,5,355,Loyal Customers,60+
CUST10044,Riya Venkataraman,vanya17@maharaj-dass.net,Male,18,Jaipur,Single,1,2021-03-31,111,28420.190000000002,23,5,3,5,535,Loyal Customers,<30
CUST10045,Aayush Hora,pranaykibe@gmail.com,Male,75,Lucknow,Widowed,0,2022-06-11,11,26609.66,27,1,4,4,144,At Risk,60+
CUST10046,Kaira Andra,kavya29@biswas.com,Not Disclosed,57,Jaipur,Single,1,2023-12-12,11,30458.69,30,1,5,5,155,At Risk,45-60
CUST10047,Jayant Ramesh,aradhyaaggarwal@lalla.net,Female,24,Hyderabad,Widowed,1,2022-04-07,30,19168.239999999998,18,3,1,2,312,Others,<30
CUST10048,Piya Reddy,sakshamkota@khatri.biz,Female,24,Kolkata,Divorced,1,2024-05-16,30,19989.84,18,3,1,2,312,Others,<30
CUST10049,Neelofar Choudhary,singhdiya@vyas.net,Male,38,Lucknow,Widowed,3,2022-01-03,16,35725.15,34,2,5,5,255,At Risk,30-45
CUST10050,Sahil Dixit,ivan79@gmail.com,Male,28,Hyderabad,Divorced,2,2023-10-31,16,19831.64,17,2,1,2,212,New Customers,<30
